,Process_Name,Type,Definition,DataProperty,Concept,Synonymes,Relation,Object
0,PLAN SCOPE MANAGEMENT,Has_inputs, the project charter documents the project purpose highlevel project description assumptions constraints and highlevel requirements that the project is intended to satisfy. ,Section 4.1.3.1., project charter ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
1,PLAN SCOPE MANAGEMENT,Has_inputs, project management plan components include but are not limited to quality management plan. the way the project and product scope will be managed can be inﬂuenced by how the organizations quality policy methodologies and standards are implemented on the project. project life cycle description. the project life cycle determines the series of phases that a project passes through from its inception to the end of the project. development approach. the development approach deﬁnes whether waterfall iterative adaptive agile or a hybrid development approach will be used. ,Section 4.2.3.1. Section 8.1.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
2,PLAN SCOPE MANAGEMENT,Has_inputs,the enterprise environmental factors that can inﬂuence the plan scope management process include but are not limited to organizations culture infrastructure personnel administration and marketplace conditions. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
3,PLAN SCOPE MANAGEMENT,Has_inputs,the organizational process assets that can inﬂuence the plan scope management process include but are not limited to policies and procedures and historical information and lessons learned repositories. ,, organizational process assets ,",process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process assets,process,process,process,process,process,process,process,process,process,process,process",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,achieves,is,whatif,predict,update,update,reveal,occurs,complete,update,be",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,scope process,inﬂuence,activities process,activities process,inﬂuence,inﬂuence,schedule process,inﬂuence,inﬂuence,inﬂuence,inﬂuence control,consensus,schedule model,scenario analysis,project objectives,update project schedule,record progress,delivery dates,plan section,project work,update project costs,person"
4,COLLECT REQUIREMENTS,Has_inputs, the project charter documents the highlevel project description and highlevel requirements that will be used to develop detailed requirements. ,Section 4.1.3.1., project charter ,",project documents,project charter,project documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
5,COLLECT REQUIREMENTS,Has_inputs, project management plan components include but are not limited to scope management plan. the scope management plan contains information on how the project scope will be deﬁned and developed. requirements management plan. the requirements management plan has information on how project requirements will be collected analyzed and documented. stakeholder engagement plan. the stakeholder engagement plan is used to understand stakeholder communication requirements and the level of stakeholder engagement in order to assess and adapt to the level of stakeholder participation in requirements activities. part guide ,Section 4.2.3.1. Section 5.1.3.1. Section 5.1.3.2. Section 13.2.3.1., project management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,project,project,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,project management team,project management team,project management team,project management team,project,project,project,project,project,project,project,scope management plan,scope management plan,management plan,project management team,management plan,plan,project,project management team,project,plan,schedule management plan,schedule management plan,schedule management plan,management plan,project,management plan,management plan,management plan,project cost management,project project,project,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,is,meet,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,waits,determines,determines,determines,is,is,ﬁnish,progresses,has,is,is,is,be,is,control,goes,represents,deliver,selects,adjust,acknowledges,is,be,establish,specify,has,goes,goes,goes,consider,include,is,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,people,commitments,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,waits,determines,determines,dependencies,funding entity,values,date,project team,date,work sv,cpi,component,needs,component,project scope,control process,project,products services,scheduling method,knowledge,work,component,needs,model development,nuevm techniques,elaboration,control process,control process,control process,project decisions,work,schedule,component,units,control accounts,control process,projects cost"
6,COLLECT REQUIREMENTS,Has_inputs,examples of project documents that can be considered as inputs for this process include but are not limited to assumption log. the assumption log identiﬁed assumptions about the product project environment stakeholders and other factors that can inﬂuence requirements. lessons learned register. the lessons learned register is used to provide information on effective requirements collection techniques especially for projects that are using an iterative or adaptive product development methodology. stakeholder register. the stakeholder register is used to identify stakeholders who can provide information on the requirements. it also captures requirements and expectations that stakeholders have for the project. ,Section 4.1.3.2. Section 4.4.3.1. Section 13.1.3.1., project documents ,",project documents,project charter,project documents,plan documents,project documents,project documents,project documents,project charter,project documents,project risks,project documents,project risks,project,project risks,project documents,project risks,project schedule,project,project documents,project calendar,project schedule,project charter,project charter,project documents,project costs,project documents,project schedule,business documents,project documents,project teams,project meetings,project participants,project work,project deliverables,project performance,project teams,project team,project team,software project,project duration,project manager,project team,project duration,project schedule,project schedule,project schedule,project performance,project schedule,project teams,project values,project,project managers,project,project team,project,project performance,project,project team,project manager,project managers,project managers,project performance,project,project schedule,project budget,project manager,project,project,matrix project,center project,project team,project teams,project charter,project documents,project team,project objectives,project documents,project documents,project performance,project documents,project schedule,project,project schedule,project,schedule project,project complexity,project milestones,project,project documents,project risks,project documents,project schedule,project schedule,project schedule,project calendar,project schedule,project documents,project schedule,project documents,project cost,project costs,business documents,project project,project,project work,project estimate,project documents,project budget,project documents,project performance,project documents",",be,provides,be,be,be,be,be,deﬁnes,be,impact,be,impact,is,impact,be,impact,perform,meet,be,allow,refers,provides,deﬁnes,be,be,be,includes,be,be,attend,develop,sponsors,involves,be,determine,hold,determines,determines,be,is,continues,hold,determine,be,address,deﬁnes,determine,require,hold,becomes,is,determine,is,is,ﬁnish,determine,progresses,develop,consider,builds,is,predicts,has,is,free,consider,is,is,programs,needs,perform,provides,contains,be,accomplish,create,be,be,result,be,manage,deliver,remain,adjust,generates,stop,indicates,has,be,impact,be,is,includes,be,allow,result,be,result,be,includes,manage,factors,include,is,cover,be,be,be,be,result,be",",assumption log,description product,assumption log,project scope statement,inputs,register lessons,inputs,summary milestone schedule,inputs,impact project schedule,inputs,impact project schedule,people,availability,inputs,impact project schedule,project work,commitments,inputs,work periods,version,project costs,approval requirements,inputs,project budget,inputs,projects activities,business case,inputs,project meetings,scope management plan,executives,wbs levels,project team,performance,planning meetings,determines,determines,delivery,amount,ﬁstofﬁve process,meetings,schedule ﬂexibility,schedule model,address impact,deﬁnes,performance,action,planning meetings,basis,funding entity,status,values,work,date,performance,project team,completion eac,eac,costs,risk scenarios,work,date,factor,resources,eac,work sv,cpi,cost center,test i,project teams,projects boundaries,level information,assumption log,project objectives,deliverables,nuassumption log,result,change request,result,changes,products services,project,knowledge,schedule examples,indicators impact,milestone,elaboration,result,impact project schedule,result,schedule model,start date,summary form,work periods,change requests,result,change requests,assumption log,processes,changes,factors factors,work,schedule,work,activity level,assumption log,change control procedures,cost estimates,change request,assumption log"
7,COLLECT REQUIREMENTS,Has_inputs, a business document that can inﬂuence the collect requirements process is the business case which can describe required desired and optional criteria for meeting the business needs. ,Section 1.2.6., business documents ,",project documents,business document,business case,project documents,plan documents,project documents,project documents,project documents,project documents,project documents,project documents,project documents,project documents,project documents,business documents,project documents,plans business,business analysis,business,project documents,project documents,project documents,project documents,project documents,project documents,project documents,project documents,business documents,project documents,project documents,project documents",",be,inﬂuence,describe,be,be,be,be,be,be,be,be,be,be,be,be,be,interface,guide,needs,be,be,be,be,be,be,be,be,factors,be,be,be",",assumption log,inﬂuence,business needs,assumption log,project scope statement,inputs,register lessons,inputs,inputs,inputs,inputs,inputs,inputs,inputs,business case,inputs,business rules,organizations,opportunities goals,assumption log,nuassumption log,result,result,result,result,result,assumption log,factors factors,assumption log,cost estimates,assumption log"
8,COLLECT REQUIREMENTS,Has_inputs, ,Section 12.2.3.2. Agreements can contain project and product requirements., agreements ,,,
9,COLLECT REQUIREMENTS,Has_inputs,the enterprise environmental factors that can inﬂuence the collect requirements process include but are not limited to organizations culture infrastructure personnel administration and marketplace conditions. ,, enterprise environmental factors ,",enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise,enterprise",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence",",inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence,activities process,inﬂuence,inﬂuence,inﬂuence,inﬂuence,inﬂuence"
